seqn,household_income,gender,age,education_level,household_size
73557,"15,000 to 19,999",Male,69,High School Grad/GED or equivalent,3
73558,"35,000 to 44,999",Male,54,High School Grad/GED or equivalent,4
73559,"65,000 to 74,999",Male,72,Some College or AA degree,2
73561,"100,000 and Over",Female,73,College Graduate or above,2
73562,"55,000 to 64,999",Male,56,Some College or AA degree,1
73564,"65,000 to 74,999",Female,61,College Graduate or above,1
73565,"100,000 and Over",Male,42,High School Grad/GED or equivalent,4
73566,"15,000 to 19,999",Female,56,High School Grad/GED or equivalent,7
73567,"10,000 to 14,999",Male,65,9th-11th Grade,1
73568,"100,000 and Over",Female,26,College Graduate or above,3
73571,"75,000 to 99,999",Male,76,College Graduate or above,2
73574,"45,000 to 54,999",Female,33,College Graduate or above,4
73577,"20,000 to 24,999",Male,32,High School Grad/GED or equivalent,7
73578,"20,000 to 24,999",Male,18,High School Grad/GED or equivalent,7
73580,"20,000 and Over",Female,38,High School Grad/GED or equivalent,6
73581,"100,000 and Over",Male,50,College Graduate or above,3
73582,"10,000 to 14,999",Female,23,Some College or AA degree,3
73585,"35,000 to 44,999",Male,28,Some College or AA degree,2
73589,"20,000 to 24,999",Male,35,High School Grad/GED or equivalent,1
73592,"20,000 and Over",Male,29,,3
73594,"20,000 to 24,999",Male,23,<9th Grade,7
73595,"45,000 to 54,999",Male,58,Some College or AA degree,2
73596,"100,000 and Over",Female,57,College Graduate or above,3
73597,"100,000 and Over",Female,50,College Graduate or above,2
73598,,Male,20,9th-11th Grade,6
73600,"20,000 to 24,999",Male,37,High School Grad/GED or equivalent,6
73603,"75,000 to 99,999",Male,35,College Graduate or above,4
73604,"65,000 to 74,999",Female,69,Some College or AA degree,2
73607,"15,000 to 19,999",Male,75,High School Grad/GED or equivalent,2
73610,"65,000 to 74,999",Male,43,College Graduate or above,6
73613,"100,000 and Over",Female,60,9th-11th Grade,6
73614,"20,000 to 24,999",Female,55,High School Grad/GED or equivalent,2
73615,"10,000 to 14,999",Female,65,<9th Grade,1
73616,"100,000 and Over",Female,62,Some College or AA degree,2
73618,"Under 20,000",Female,54,High School Grad/GED or equivalent,4
73619,"10,000 to 14,999",Female,36,High School Grad/GED or equivalent,2
73621,"75,000 to 99,999",Male,80,College Graduate or above,2
73622,"75,000 to 99,999",Male,72,College Graduate or above,2
73623,"75,000 to 99,999",Male,32,High School Grad/GED or equivalent,4
